"SGG_CD","SE_CD","FCLT_CD","FCLT_NM","FCLT_DSGN_DAY","FCLT_SE_CD","EMD_CD","EMD_NM","FCLT_ADDR_LOTNO","FCLT_SCL","SCL_UNIT","FCLT_ADDR_RONA","LOT_PROVIN","LOT_MIN","LOT_SEC","LAT_PROVIN","LAT_MIN","LAT_SEC","GRND_UDGD_SE","SHNT_PSBLTY_NOPE","OPN_YN","MNG_INST_NM","ORTM_UTLZ_TYPE","MNG_INST_TELNO","ROAD_NM_CD"
"3680000","2","S199300009","흥진아파트 지하주차장 1층","19930701","3           ","3680031     ","신탄진동","대전광역시 대덕구 신탄진동 166번지 3호","1847","㎡","대전광역시 대덕구 신탄진남로 26 (신탄진동, 흥진아파트)","127","26","8","36","26","46","1","2238","Y","대전광역시 대덕구청","주차장","042-608-6420","3168020     "
"3680000","2","S199500003","라이프새여울아파트 지하주차장 1층","19950101","3           ","3680031     ","신탄진동","대전광역시 대덕구 신탄진동 22번지 1호","2594","㎡","대전광역시 대덕구 대청로64번길 11 (신탄진동, 라이프새여울아파트)","127","26","8","36","27","10","1","3144","Y","대전광역시 대덕구청","주차장","042-608-6420","4304105     "
"3680000","2","S200500016","신동아아파트 1동 지하 1층","19900101","3           ","3680024     ","오정동","대전광역시 대덕구 오정동 635번지 1호","1821","㎡","대전광역시 대덕구 한밭대로1033번길 15 (오정동, 신동아아파트)","127","24","43","36","21","33","1","2207","Y","대전광역시 대덕구청","기타","","4304488     "
"3680000","1","E198100002","화정초등학교","19810712","1           ","3680024     ","오정동","대전광역시 대덕구 오정동 93번지 1호","100","t(톤)","대전광역시 대덕구 한밭대로1024번길 20 (오정동, 화정초등학교)","127","24","48","36","21","25","0","0","Y","대전광역시 대덕구청","생활용수","042-608-5620","4304487     "
"3680000","1","E202000001","통매바위어린이공원","20201109","1           ","3680024     ","오정동","대전광역시 대덕구 오정동 274-1","100","t(톤)","대전광역시 대덕구 오정로76번길 63 (오정동)","127","24","47","36","21","15","0","0","Y","대전광역시 대덕구청","식수","","4304397     "
"3680000","2","S199900019","선비마을아파트 405동 지하주차장 1, 2층","19990101","3           ","3680047     ","송촌동","대전광역시 대덕구 송촌동 462 선비마을4단지아파트","5859","㎡","대전광역시 대덕구 계족산로 135 (송촌동, 선비마을4단지아파트)","127","26","41","36","21","59","1","7101","Y","대전광역시 대덕구청","지하주차장","042-608-6270","3168001     "
"3680000","2","S199900020","선비마을아파트 408동 지하주차장 1층","19990101","3           ","3680047     ","송촌동","대전광역시 대덕구 송촌동 462 선비마을4단지아파트","846","㎡","대전광역시 대덕구 계족산로 135 (송촌동, 선비마을4단지아파트)","127","26","41","36","21","59","1","1025","Y","대전광역시 대덕구청","지하주차장","042-608-6270","3168001     "
"3480000","2","S201600002","테크노폴리스 남해오네뜨 1차 아파트 지하1~2층","20160316","3           ","3480374     ","현풍읍","대구광역시 달성군 현풍읍 중리 480 대구테크노폴리스남해오네뜨1차","7967","㎡","대구광역시 달성군 현풍읍 테크노북로4길 11(대구테크노폴리스남해오네뜨1차)","128","27","19","35","41","45","1","9656","Y","대구광역시 달성군청","지하주차장","053-668-2890","4244670     "
"3480000","2","S201700039","테크노폴리스 LH천년나무1단지 아파트 지하1층","20170426","3           ","3480374     ","현풍읍","대구광역시 달성군 현풍읍 중리 487 대구테크노폴리스엘에이치천년나무1단지","7434","㎡","대구광역시 달성군 현풍읍 테크노북로2길 10(대구테크노폴리스엘에이치천년나무1단지)","128","27","1","35","41","30","1","9010","Y","대구광역시 달성군청","지하주차장","053-668-2890","4244668     "
"3480000","2","S201700040","테크노폴리스 LH천년나무2단지 아파트 지하1층","20170420","3           ","3480374     ","현풍읍","대구광역시 달성군 현풍읍 중리 488 대구테크노폴리스엘에이치천년나무2단지","10434","㎡","대구광역시 달성군 현풍읍 테크노북로2길 30(대구테크노폴리스엘에이치천년나무2단지)","128","27","8","35","41","29","1","12647","Y","대구광역시 달성군청","지하주차장","053-668-2890","4244668     "
"3480000","2","S201700041","테크노폴리스 제일풍경채더퍼스트 아파트 지하1층","20170424","3           ","3480374     ","현풍읍","대구광역시 달성군 현풍읍 중리 484 제일풍경채더퍼스트","10153","㎡","대구광역시 달성군 현풍읍 테크노상업로 49(제일풍경채더퍼스트)","128","27","18","35","41","36","1","12306","Y","대구광역시 달성군청","지하주차장","053-668-2890","3341006     "
"3480000","2","S201700043","테크노폴리스 일동미라주 아파트 지하1층","20170427","3           ","3480374     ","현풍읍","대구광역시 달성군 현풍읍 중리 485 대구테크노폴리스일동미라주더파크","8637","㎡","대구광역시 달성군 현풍읍 테크노북로2길 9(대구테크노폴리스일동미라주더파크)","128","27","1","35","41","32","1","10469","Y","대구광역시 달성군청","지하주차장","053-668-2890","4244668     "
"3480000","2","S201700062","테크노폴리스 LH천년나무 3단지 아파트 지하1층","20171025","3           ","3480374     ","현풍읍","대구광역시 달성군 현풍읍 중리 481 대구테크노폴리스엘에이치천년나무3단지","4787","㎡","대구광역시 달성군 현풍읍 테크노북로4길 27(대구테크노폴리스엘에이치천년나무3단지)","128","27","21","35","41","40","1","5802","Y","대구광역시 달성군청","지하주차장","053-668-2890","4244670     "
"3480000","1","E201900001","청구목욕탕","20190523","3           ","3480374     ","현풍읍","대구광역시 달성군 현풍읍 402번지 9호","95","t(톤)","대구광역시 달성군 현풍읍 현풍중앙로21길 2","128","26","32","35","41","53","0","0","Y","대구광역시 달성군청","생활용수","053-668-2890","4244594     "
"3480000","2","S201700042","테크노폴리스 서한이다음 아파트 지하1층","20170426","3           ","3480374     ","현풍읍","대구광역시 달성군 현풍읍 중리 486 대구테크노폴리스 서한이다음","9080","㎡","대구광역시 달성군 현풍읍 테크노상업로 33(대구테크노폴리스 서한이다음)","128","27","12","35","41","32","1","11006","Y","대구광역시 달성군청","지하주차장","053-668-2890","3341006     "
"3480000","1","E202100004","달성종합스포츠파크","20210511","3           ","3480374     ","현풍읍","대구광역시 달성군 현풍읍 성하리 225-2","90","t(톤)","대구광역시 달성군 현풍읍 비슬로 738","128","26","25","35","42","10","0","0","Y","대구광역시 달성군청","생활용수","053-668-2890","3007026     "
"3480000","2","S202200001","대구보훈요양원 지하1층","20221201","3           ","3480024     ","하빈면","대구광역시 달성군 하빈면 하산리 420","348","㎡","대구광역시 달성군 하빈면 하산길 123-23, 대구보훈요양원","128","24","27","35","53","25","1","421","Y","대구광역시 달성군청","의료시설","053-668-2890","4244552     "
"3480000","2","S201200002","평광행복타운 지하주차장 1층","20120611","3           ","3480042     ","논공읍","대구광역시 달성군 논공읍 남리 578번지 15호","618","㎡","대구광역시 달성군 논공읍 논공중앙로22길 12-0","128","26","51","35","43","31","1","749","Y","대구광역시 달성군청","지하주차장","053-668-2890","4244140     "
"3480000","1","E199700003","정부지원 민방위 비상급수시설(군민운동장내)","19970101","1           ","3480042     ","논공읍","대구광역시 달성군 논공읍 북리 1번지 36호","300","t(톤)","대구광역시 달성군 논공읍 논공로 697-10","128","26","56","35","43","46","0","0","Y","대구광역시 달성군청","식수","053-668-2890","3148011     "
"3480000","2","S199600005","우방연합아파트 지하주차장 1층","19960320","3           ","3480042     ","논공읍","대구광역시 달성군 논공읍 남리 615번지 5호","1232","㎡","대구광역시 달성군 논공읍 논공중앙로22길 36-0","128","26","56","35","43","25","1","1493","Y","대구광역시 달성군청","지하주차장","053-668-2890","4244140     "
"3480000","2","S199600006","성원 아파트 지하주차장 1층","19960920","3           ","3480042     ","논공읍","대구광역시 달성군 논공읍 북리 803번지 4호","3258","㎡","대구광역시 달성군 논공읍 논공로23길 14-0","128","26","43","35","43","52","1","3949","Y","대구광역시 달성군청","지하주차장","053-668-2890","4244124     "
"3480000","2","S201000001","달성군청 지하 1층","20101126","3           ","3480042     ","논공읍","대구광역시 달성군 논공읍 금포리 1313번지","543","㎡","대구광역시 달성군 논공읍 달성군청로 33","128","25","54","35","46","29","1","658","Y","대구광역시 달성군청","회의,교육","053-668-2890","3148026     "
"3480000","1","E202100005","대동공업","20211230","3           ","3480042     ","논공읍","대구광역시 달성군 논공읍 북리 1-40","280","t(톤)","대구광역시 달성군 논공읍 논공중앙로34길 35","128","27","20","35","43","38","1","0","Y","대구광역시 달성군청","식수","053-668-2890","4244145     "
"3480000","2","S202200002","우신미가뷰 아파트 지하주차장 1~3층","20221230","3           ","3480042     ","논공읍","대구광역시 달성군 논공읍 금포리 1630 우신미가뷰 아파트","36961","㎡","대구광역시 달성군 논공읍 금포로 75-20(우신미가뷰 아파트)","128","25","42","35","46","12","1","44801","Y","대구광역시 달성군청","주차장","053-668-2890","3148010     "
"3480000","2","S199700002","강창우방아파트 지하주차장 1층~2층","19970924","3           ","3480043     ","다사읍","대구광역시 달성군 다사읍 매곡리 719번지 1호","2260","㎡","대구광역시 달성군 다사읍 달구벌대로 770 (강창우방타운)","128","27","23","35","51","41","1","2739","Y","대구광역시 달성군청","지하주차장","053-668-2890","2007002     "
"3480000","2","S199700001","서재보성1차 아파트 지하주차장 1~2층","19970522","3           ","3480043     ","다사읍","대구광역시 달성군 다사읍 서재리 145번지","7651","㎡","대구광역시 달성군 다사읍 서재로30길 17-0","128","29","60","35","52","38","1","9273","Y","대구광역시 달성군청","지하주차장","053-668-2890","4244368     "
"3480000","2","S201000002","다사주공1단지 지하주차장 1층","20101206","3           ","3480043     ","다사읍","대구광역시 달성군 다사읍 매곡리 510번지","1763","㎡","대구광역시 달성군 다사읍 매곡로14길 13-0","128","27","24","35","51","58","1","2136","Y","대구광역시 달성군청","지하주차장","053-668-2890","4244205     "
"3480000","2","S200600002","대구 대실역 지하1~3층","20060712","3           ","3480043     ","다사읍","대구광역시 달성군 다사읍 242번지 2호","2456","㎡","대구광역시 달성군 다사읍 달구벌대로 지하 888 (대실역)","128","27","57","35","51","24","1","2976","Y","대구광역시 달성군청","기타","053-668-2890","2007002     "
"3480000","2","S201700011","강창동서아파트 지하주차장 1층","20170403","3           ","3480043     ","다사읍","대구광역시 달성군 다사읍 302번지","1243","㎡","대구광역시 달성군 다사읍 왕선로 49 (강창동서아파트)","128","27","48","35","51","52","1","1506","Y","대구광역시 달성군청","지하주차장","053-668-2890","3148038     "
"3480000","2","S201700012","강창한서꼼빠니아 지하주차장 1층","20170403","3           ","3480043     ","다사읍","대구광역시 달성군 다사읍 719번지 3호","2570","㎡","대구광역시 달성군 다사읍 달구벌대로 802-1 (강창한서꼼빠니아타운)","128","27","35","35","51","40","1","3115","Y","대구광역시 달성군청","지하주차장","053-668-2890","2007002     "
"3480000","2","S201700052","옥포LH허브시티 아파트 지하 1층","20170428","3           ","3480373     ","옥포읍","대구광역시 달성군 옥포읍 1099번지","8047","㎡","대구광역시 달성군 옥포읍 비슬로 1941 (대구옥포LH허브시티)","128","26","8","35","46","56","1","9753","Y","대구광역시 달성군청","지하주차장","053-668-2890","3007026     "
"3300000","2","S201100013","동래센트럴파크하이츠2차202~205동 지하주차장 3층","20110831","3           ","3300081     ","명륜동","부산광역시 동래구 명륜동 756-1 동래센트럴파크하이츠2차","4120","㎡","부산광역시 동래구 문화로 33 (명륜동, 동래센트럴파크하이츠2차)","129","5","10","35","12","39","1","4993","Y","부산광역시 동래구청","주차장","051-550-4630","3130007     "
"4100100","2","S202400001","일산동양아파트 지하주차장 1층~2층","20240205","3           ","4100108     ","일산서구 일산1동","경기도 고양시 일산서구 일산동 955-2 동양아파트","19949","㎡","경기도 고양시 일산서구 고양대로 633 (일산동, 동양아파트)","126","46","3","37","41","11","1","24180","Y","경기도 고양시 일산서구청","주차장","031-8075-2980","2192001     "
"5730000","2","S202400002","봉명베리굿2차 지하주차장 1~3층","20240126","3           ","5730018     ","흥덕구 봉명2송정동","충청북도 청주시 흥덕구 봉명동 1833","3442","㎡","충청북도 청주시 흥덕구 직지대로 605 (봉명동)","127","27","36","36","38","37","1","4172","Y","충청북도 청주시 흥덕구청","주차장","043-201-7010","3236058     "
"5730000","2","S202400001","리치먼드시티 지하주차장 1~2층","20240126","3           ","5730018     ","흥덕구 봉명2송정동","충청북도 청주시 흥덕구 봉명동 1857-1","5558","㎡","충청북도 청주시 흥덕구 직지대로 551 (봉명동)","127","27","15","36","38","38","1","6736","Y","충청북도 청주시 흥덕구청","주차장","043-201-7010","3236058     "
"3480000","2","S201700053","대성베르힐4단지 아파트 지하 1층","20170420","3           ","3480373     ","옥포읍","대구광역시 달성군 옥포읍 2964번지","10976","㎡","대구광역시 달성군 옥포읍 돌미로 70 (옥포대성베르힐4단지)","128","26","29","35","46","49","1","13304","Y","대구광역시 달성군청","지하주차장","053-668-2890","3341010     "
"3650000","1","E199700002","버드내 샘물","19971019","1           ","3650043     ","유천1동","대전광역시 중구 유천동 275번지 5호","345","t(톤)","대전광역시 중구 문화로99번길 5 (유천동, 버드내공원경로당)","127","23","46","36","18","46","0","0","Y","대전광역시 중구청","식수","042-606-6036","4295334     "
"3650000","2","S198200001","충남대학교병원 전체 동의 지하1층","19820101","3           ","3650036     ","대사동","대전광역시 중구 대사동 640번지","1946","㎡","대전광역시 중구 문화로 282 (대사동, 충남대학교병원)","127","25","1","36","19","3","1","2358","Y","대전광역시 중구청","기타","042-606-6024","3165047     "
"3650000","2","S198900021","플래티늄 요양원 지하주차장","19890527","3           ","3650036     ","대사동","대전광역시 중구 대사동 248번지 357호","256","㎡","대전광역시 중구 계룡로 934 (대사동)","127","24","57","36","19","10","1","309","Y","대전광역시 중구청","기타","042-606-6024","3010024     "
"3650000","1","E199300006","김학영정형외과","19930910","3           ","3650036     ","대사동","대전광역시 중구 대사동 248번지 293호","280","t(톤)","대전광역시 중구 계룡로 945 (대사동)","127","25","1","36","19","9","0","0","N","대전광역시 중구청","","042-606-6024","3010024     "
"3650000","1","E200500004","문창초등학교","19771230","3           ","3650059     ","문창동","대전광역시 중구 부사동 94번지 15호","190","t(톤)","대전광역시 중구 문창로 55 (부사동, 대전문창초등학교)","127","26","2","36","19","6","0","0","Y","대전광역시 중구청","생활용수","","3165010     "
"3650000","2","S201700018","태평아파트 106동","20170628","3           ","3650041     ","태평1동","대전광역시 중구 태평동 317번지","2409","㎡","대전광역시 중구 평촌로 111 (태평동, 태평아파트)","127","23","58","36","19","24","1","2919","Y","대전광역시 중구청","지하주차장","042-606-6024","3010023     "
"3650000","2","S201700020","태평아파트 109동","20170628","3           ","3650041     ","태평1동","대전광역시 중구 태평동 317번지","5027","㎡","대전광역시 중구 평촌로 111 (태평동, 태평아파트)","127","24","1","36","19","26","1","6092","Y","대전광역시 중구청","지하주차장","042-606-6024","3010023     "
"3650000","2","S201700009","푸른뫼아파트 107동","20170628","3           ","3650041     ","태평1동","대전광역시 중구 태평동 254번지 4호","3285","㎡","대전광역시 중구 수침로 122 (태평동, 푸른뫼아파트)","127","23","58","36","19","48","1","3982","Y","대전광역시 중구청","주차장","042-606-6024","3165028     "
"3650000","2","S201700017","태평아파트 104동","20170628","3           ","3650041     ","태평1동","대전광역시 중구 태평동 317번지","6881","㎡","대전광역시 중구 평촌로 111 (태평동, 태평아파트)","127","23","57","36","19","27","1","8340","Y","대전광역시 중구청","지하주차장","042-606-6024","3010023     "
"3650000","2","S201700019","태평아파트 107동","20170628","3           ","3650041     ","태평1동","대전광역시 중구 태평동 317번지","6328","㎡","대전광역시 중구 평촌로 111 (태평동, 태평아파트)","127","24","1","36","19","25","1","7670","Y","대전광역시 중구청","지하주차장","042-606-6024","3010023     "
"3650000","2","S200800002","유등마을아파트 101동","20080415","3           ","3650041     ","태평1동","대전광역시 중구 태평동 253번지 1호","4229","㎡","대전광역시 중구 수침로 138 (태평동, 유등마을아파트)","127","23","56","36","19","59","1","5126","Y","대전광역시 중구청","지하주차장","042-606-6036","3165028     "
"3650000","2","S200800003","태평아파트 101동","20080415","3           ","3650041     ","태평1동","대전광역시 중구 태평동 317번지","5214","㎡","대전광역시 중구 평촌로 111 (태평동, 태평아파트)","127","23","55","36","19","25","1","6319","Y","대전광역시 중구청","지하주차장","042-606-6036","3010023     "
"3650000","2","S200800001","푸른뫼아파트 101동","20080415","3           ","3650041     ","태평1동","대전광역시 중구 태평동 254번지 4호","2867","㎡","대전광역시 중구 수침로 122 (태평동, 푸른뫼아파트)","127","23","56","36","19","49","1","3475","Y","대전광역시 중구청","지하주차장","042-606-6036","3165028     "
"3650000","2","S200800011","쌍용예가아파트","20081013","3           ","3650041     ","태평1동","대전광역시 중구 태평동 554번지","22000","㎡","대전광역시 중구 평촌로 93 (태평동, 쌍용예가아파트)","127","23","49","36","19","25","1","26666","Y","대전광역시 중구청","주차장","042-606-6036","3010023     "
"3650000","2","S201700007","푸른뫼아파트 103동","20170628","3           ","3650041     ","태평1동","대전광역시 중구 태평동 254번지 4호","2867","㎡","대전광역시 중구 수침로 122 (태평동, 푸른뫼아파트)","127","23","57","36","19","45","1","3475","Y","대전광역시 중구청","주차장","042-606-6036","3165028     "
"3650000","2","S201700008","푸른뫼아파트 105동","20170628","3           ","3650041     ","태평1동","대전광역시 중구 태평동 254번지 4호","3184","㎡","대전광역시 중구 수침로 122 (태평동, 푸른뫼아파트)","127","23","58","36","19","46","1","3859","Y","대전광역시 중구청","주차장","042-606-6036","3165028     "
"3910000","2","S202400002","평택지제역동문굿모닝힐맘시티4단지 지하주차장 1층","20240126","3           ","3910077     ","송탄동","경기도 평택시 칠원동 595 평택지제역동문굿모닝힐맘시티4단지","28678","㎡","경기도 평택시 신촌5로 56 (칠원동, 평택지제역동문굿모닝힐맘시티4단지)","127","6","24","37","1","31","1","34761","Y","경기도 평택시청","주차장","031-8024-4900","3352297     "
"3910000","2","S202400001","평택지제역동문굿모닝힐맘시티2단지 지하주차장 1층","20240126","3           ","3910077     ","송탄동","경기도 평택시 칠원동 559 평택지제역동문굿모닝힐맘시티2단지","30651","㎡","경기도 평택시 신촌3로 12 (칠원동, 평택지제역동문굿모닝힐맘시티2단지)","127","6","27","37","1","35","1","37152","Y","경기도 평택시청","주차장","031-8024-4900","3352295     "
"4020000","2","S202400001","힐스테이트 금정역 지하주차장","20240131","3           ","4020038     ","금정동","경기도 군포시 금정동 916 힐스테이트 금정역","32998","㎡","경기도 군포시 엘에스로 143 (금정동, 힐스테이트 금정역)","126","56","42","37","22","24","1","39997","Y","경기도 군포시청","주차장","","3182030     "
"3650000","2","S201700010","유등마을아파트 104동","20170628","3           ","3650041     ","태평1동","대전광역시 중구 태평동 253번지 1호","5426","㎡","대전광역시 중구 수침로 138 (태평동, 유등마을아파트)","127","23","55","36","19","56","1","6577","Y","대전광역시 중구청","지하주차장","042-606-6036","3165028     "
"3650000","2","S201700011","유등마을아파트 106동","20170628","3           ","3650041     ","태평1동","대전광역시 중구 태평동 253번지 1호","4229","㎡","대전광역시 중구 수침로 138 (태평동, 유등마을아파트)","127","23","56","36","19","54","1","5126","Y","대전광역시 중구청","지하주차장","042-606-6036","3165028     "
"3650000","2","S201700012","유등마을아파트 108동","20170628","3           ","3650041     ","태평1동","대전광역시 중구 태평동 253번지 1호","3830","㎡","대전광역시 중구 수침로 138 (태평동, 유등마을아파트)","127","23","56","36","19","52","1","4642","Y","대전광역시 중구청","지하주차장","042-606-6036","3165028     "
"3650000","2","S201700013","유등마을아파트 110동","20170628","3           ","3650041     ","태평1동","대전광역시 중구 태평동 253번지 1호","1253","㎡","대전광역시 중구 수침로 138 (태평동, 유등마을아파트)","127","23","53","36","19","55","1","1518","Y","대전광역시 중구청","지하주차장","042-606-6036","3165028     "
"3650000","2","S201700014","유등마을아파트 111동","20170628","3           ","3650041     ","태평1동","대전광역시 중구 태평동 253번지 1호","2115","㎡","대전광역시 중구 수침로 138 (태평동, 유등마을아파트)","127","23","54","36","19","53","1","2563","Y","대전광역시 중구청","지하주차장","042-606-6036","3165028     "
"3650000","2","S201700015","유등마을아파트 112동","20170628","3           ","3650041     ","태평1동","대전광역시 중구 태평동 253번지 1호","2115","㎡","대전광역시 중구 수침로 138 (태평동, 유등마을아파트)","127","23","55","36","19","51","1","2563","Y","대전광역시 중구청","지하주차장","042-606-6036","3165028     "
"3650000","2","S201700016","태평아파트 103동","20170628","3           ","3650041     ","태평1동","대전광역시 중구 태평동 317번지","3630","㎡","대전광역시 중구 평촌로 111 (태평동, 태평아파트)","127","23","54","36","19","28","1","4400","Y","대전광역시 중구청","지하주차장","042-606-6036","3010023     "
"3650000","1","E198100002","남양아파트","19810604","2           ","3650035     ","석교동","대전광역시 중구 석교동 195번지","70","t(톤)","대전광역시 중구 사득로 68 (석교동, 남양아파트)","127","26","16","36","18","35","0","0","N","대전광역시 중구청","","","3165019     "
"3650000","1","E199700004","범골샘물","19970614","2           ","3650035     ","석교동","대전광역시 중구 석교동 98번지 3호","120","t(톤)","대전광역시 중구 돌다리로7번길 52 (석교동, 석교경노당)","127","26","41","36","18","26","0","0","N","대전광역시 중구청","","","4295222     "
"3650000","2","S201100007","대석침례교회 구관 지하 1층","20110826","3           ","3650035     ","석교동","대전광역시 중구 석교동 88-1","245","㎡","대전광역시 중구 대종로 175(석교동)","127","26","50","36","18","25","1","296","Y","대전광역시 중구청","교육장","042-606-6036","3010004     "
"3650000","2","S201100008","대석침례교회 신관 지하 1층","20110826","3           ","3650035     ","석교동","대전광역시 중구 석교동 88번지 1호","172","㎡","대전광역시 중구 대종로 175-0 (석교동)","127","26","50","36","18","25","1","208","Y","대전광역시 중구청","교육장","042-606-6036","3010004     "
"3650000","2","S201100009","황제장어나라 지하주차장 1층","20110826","3           ","3650035     ","석교동","대전광역시 중구 호동 11-2","555","㎡","대전광역시 중구 대종로 159 (호동)","127","26","53","36","18","21","1","672","Y","대전광역시 중구청","지하주차장","042-606-6036","3010004     "
"3650000","1","E199700005","재마루샘물","19970608","2           ","3650035     ","석교동","대전광역시 중구 옥계동 197번지 3호","205","t(톤)","대전광역시 중구 모암로13번길 154 (옥계동)","127","27","14","36","17","50","0","0","Y","대전광역시 중구청","식수","","4295259     "
"3360000","1","E201000001","(주)헤라컨트리클럽 1호정","20100624","4           ","3360031     ","녹산동","부산광역시 강서구 지사동 11번지","200","t(톤)","부산광역시 강서구 과학산단로306번길 77 (지사동)","128","50","17","35","9","19","0","0","Y","부산광역시 강서구청","생활용수","051-970-4790","4208119     "
"4030000","2","S200300041","동백아파트 지하주차장(4~6) 1층","20030501","3           ","4030029     ","오전동","경기도 의왕시 오전동 849번지","4073","㎡","경기도 의왕시 오전로 150 (오전동, 동백아파트)","126","58","17","37","21","25","1","4936","Y","경기도 의왕시청","주차장","031-345-2580","3201025     "
"5090000","1","E200100200","상망동 경일아파트 앞(웃무리마을 공원)","20011114","1           ","5090043     ","상망동","경상북도 영주시 상망동 579-7 웃무리마을내 공원","250","t(톤)","","128","38","20","36","49","35","0","0","Y","경상북도 영주시청","식수","",""
"5090000","2","S201000002","코아루아파트 지하주차장 1층","20100716","3           ","5090043     ","상망동","경상북도 영주시 상망동 834 코아루아파트","15012","㎡","경상북도 영주시 원당로225번길 67 (상망동, 코아루아파트)","128","38","11","36","49","57","1","18196","Y","경상북도 영주시청","지하주차장","","4727488     "
"5090000","2","S199500002","영남동산아파트 1동 지하추자장 1층","19951208","3           ","5090043     ","상망동","경상북도 영주시 하망동 88 영남동산아파트 1동","1150","㎡","경상북도 영주시 원당로223번길 57, 1동 (하망동, 영남동산아파트)","128","38","0","36","49","54","1","1393","Y","경상북도 영주시청","지하주차장","","4727487     "
"5090000","1","E200800001","코아루아파트 뒤","20080717","2           ","5090043     ","상망동","경상북도 영주시 상망동 834번지 35호 해당번지 옆에 위치함","100","t(톤)","","128","38","3","36","50","2","0","0","Y","경상북도 영주시청","식수","",""
"3650000","2","S201000005","유등탑스빌","20100609","3           ","3650043     ","유천1동","대전광역시 중구 유천동 331번지 10호","1983","㎡","대전광역시 중구 유천로33번길 106 (유천동, 유등탑스빌)","127","23","34","36","18","52","1","2403","Y","대전광역시 중구청","주차장","042-606-6036","4295540     "
